country	region	region_orig	Dif.region_region_orig	regionhash	habitatcode	presence	habitatgroup	annex_I_priority	annex_I_priority_comment
BE	ATL	ATL	TRUE	f0033d97bb43bedf4b43647097a096bc	91D0	1	Forests	Y	
BE	CON	CON	TRUE	d18a9323147ebe85beae3706712d4ff8	91D0	1	Forests	Y	
BE	ATL	ATL	TRUE	aa2055f1181a2eb07e03048b275f3ab9	9.10E+01	1	Forests	Y	
BE	CON	CON	TRUE	33883391aa6da3cfca96d4f451f586dc	9.10E+01	1	Forests	Y	
BE	ATL	ATL	TRUE	ab365d4466dc2ee84a00f07dca9651e2	91F0	1	Forests	N	
BE	CON	CON	TRUE	0ef952b570c10fe2016b562d72a0640d	91F0	1	Forests	N	
BG	MBLS	MBLS	TRUE	5cc656fc509fc68f7481d5c98e24dcd8	1110	1	Coastal habitats	N	
BG	MBLS	MBLS	TRUE	1feb7a33e6e699c21111d75a4654aa1a	1130	1	Coastal habitats	N	
BG	MBLS	MBLS	TRUE	3fa832eac2a1aeed01d12b4dc9a0d11a	1140	1	Coastal habitats	N	
BG	BLS	BLS	TRUE	96fa4feb96ad9c4382c165050022eec1	1150	1	Coastal habitats	Y	
BG	MBLS	MBLS	TRUE	8f7cbfe3af84429cb73ee11f9081ae78	1160	1	Coastal habitats	N	
BG	MBLS	MBLS	TRUE	3de1a4a57ebe93bc6d38e23aaea7a098	1170	1	Coastal habitats	N	
BG	MBLS	MBLS	TRUE		1180	SR	Coastal habitats	N	
BG	BLS	BLS	TRUE	4397d80a0ea6890930014c5a56f9b083	1210	1	Coastal habitats	N	
BG	BLS	BLS	TRUE	86000ca0e8958d0992741ff0ef1a6882	1240	1	Coastal habitats	N	
BG	BLS	BLS	TRUE	38eb3eca57f3b761c187841ed7618a8f	1310	1	Coastal habitats	N	
BG	CON	CON	TRUE	581508a6a620ef1ad25d56dec7b65b61	1310	1	Coastal habitats	N	
BG	CON	CON	TRUE	576f92b0c07f4200cdd1f2a5c689dcd7	1340	1	Coastal habitats	Y	
BG	BLS	BLS	TRUE	67bbb0862a0348c08fb80b7d701af92c	1410	1	Coastal habitats	N	
BG	CON	CON	TRUE	8c913b41541a114aef9066073f214eac	1410	1	Coastal habitats	N	
BG	BLS	BLS	TRUE	35c10c235da53a87003ab734e3153947	1530	1	Coastal habitats	Y	
BG	CON	CON	TRUE	90206f022ae52b438e25358cc12d6745	1530	1	Coastal habitats	Y	
BG	BLS	BLS	TRUE	b3b78c8acddc58ce05226002b8a426f5	2110	1	Dunes habitats	N	
BG	BLS	BLS	TRUE	a5a66b81dcec95674b2e0aabbc8b4ef8	2120	1	Dunes habitats	N	
BG	BLS	BLS	TRUE	b7c96734b3569d0857de85beb9158272	2130	1	Dunes habitats	Y	
BG	BLS	BLS	TRUE	32b259b31b02434f8cee14ea65e41ab7	2180	1	Dunes habitats	N	
BG	BLS	BLS	TRUE	dad016a3eda07423983b0185d914086e	2190	1	Dunes habitats	N	
BG	CON	CON	TRUE	9b24153ba13a68733beac781e922a0bc	2340	1	Dunes habitats	Y	
BG	ALP	ALP	TRUE	0a435d0b22fa9dbc5de9b4978d25fba8	3130	1	Freshwater habitats	N	
BG	CON	CON	TRUE	74588cb434dfe62f8df4d70070d2cab1	3130	1	Freshwater habitats	N	
BG	ALP	ALP	TRUE	3cea95a12097d2d80a5199651eccd918	3140	1	Freshwater habitats	N	
BG	BLS	BLS	TRUE	fb99f7f093c466cfca7b1c424718f85a	3140	1	Freshwater habitats	N	
BG	CON	CON	TRUE	ebb4d3643de5f599aaf9973f1eb6bbcb	3140	1	Freshwater habitats	N	
BG	ALP	ALP	TRUE	f44f933c7fc6388fb94f547b78601e9d	3150	1	Freshwater habitats	N	
BG	BLS	BLS	TRUE	1a34c944b8d91e6550d6df150cdfe0b6	3150	1	Freshwater habitats	N	
BG	CON	CON	TRUE	44e813950446526a92178c6efefdf92f	3150	1	Freshwater habitats	N	
BG	ALP	ALP	TRUE	ffd78e8e0d281efb6a95f895a53d1367	3160	1	Freshwater habitats	N	
BG	CON	CON	TRUE	a65a216f30b8d1ac01701efa0ea23119	3160	1	Freshwater habitats	N	
BG	ALP	ALP	TRUE	d7c4a64f9fc40e4e3c483d1b731c164c	3260	1	Freshwater habitats	N	
BG	BLS	BLS	TRUE	4534e31e13643b92197ec44fe03071a5	3260	1	Freshwater habitats	N	
BG	CON	CON	TRUE	373dc9065a569679b235d95d22ce53d7	3260	1	Freshwater habitats	N	
BG	ALP	ALP	TRUE	bae11ca578b5d86540df74c6b5df04c8	3270	1	Freshwater habitats	N	
BG	BLS	BLS	TRUE	61afbf730da66fcb2c2bc728aee69b39	3270	1	Freshwater habitats	N	
BG	CON	CON	TRUE	c10e3372c709b957ac65d7ae86589ea4	3270	1	Freshwater habitats	N	
BG	BLS	BLS	TRUE	0a3ec35782f612448501b36fa905e7cf	4030	1	Heath & scrub	N	
