"country","region","habitatcode","habitatgroup"
"CZ","PAN","6240","Grasslands"
"CZ","PAN","6250","Grasslands"
"CZ","PAN","6260","Grasslands"
"CZ","CON","6410","Grasslands"
"CZ","PAN","6410","Grasslands"
"CZ","CON","6430","Grasslands"
"CZ","PAN","6430","Grasslands"
"CZ","CON","6440","Grasslands"
"CZ","PAN","6440","Grasslands"
"CZ","CON","6510","Grasslands"
"CZ","PAN","6510","Grasslands"
"CZ","CON","6520","Grasslands"
"CZ","CON","7110","Bogs, mires & fens"
"CZ","CON","7120","Bogs, mires & fens"
"CZ","CON","7140","Bogs, mires & fens"
"CZ","PAN","7140","Bogs, mires & fens"
"CZ","CON","7150","Bogs, mires & fens"
"CZ","CON","7210","Bogs, mires & fens"
"CZ","CON","7220","Bogs, mires & fens"
"CZ","CON","7230","Bogs, mires & fens"
"CZ","CON","8110","Rocky habitats"
"CZ","CON","8150","Rocky habitats"
"CZ","PAN","8150","Rocky habitats"
"CZ","CON","8160","Rocky habitats"
"CZ","PAN","8160","Rocky habitats"
"CZ","CON","8210","Rocky habitats"
"CZ","PAN","8210","Rocky habitats"
"CZ","CON","8220","Rocky habitats"
"CZ","PAN","8220","Rocky habitats"
"CZ","CON","8230","Rocky habitats"
"CZ","PAN","8230","Rocky habitats"
"CZ","CON","8310","Rocky habitats"
"CZ","PAN","8310","Rocky habitats"
"CZ","CON","9110","Forests"
"CZ","CON","9130","Forests"
"CZ","CON","9140","Forests"
"CZ","CON","9150","Forests"
"CZ","CON","9170","Forests"
"CZ","PAN","9170","Forests"
"CZ","CON","9180","Forests"
"CZ","PAN","9180","Forests"
"CZ","CON","9190","Forests"
"CZ","CON","91D0","Forests"
"CZ","PAN","91D0","Forests"
"CZ","CON","91E0","Forests"
"CZ","PAN","91E0","Forests"
"CZ","CON","91F0","Forests"
"CZ","PAN","91F0","Forests"
"CZ","CON","91G0","Forests"
"CZ","PAN","91G0","Forests"
"CZ","CON","91H0","Forests"
"CZ","PAN","91H0","Forests"
"CZ","CON","91I0","Forests"
"CZ","PAN","91I0","Forests"
"CZ","CON","91T0","Forests"
"CZ","CON","91U0","Forests"
"CZ","CON","9410","Forests"
"DE","MATL","1110","Coastal habitats"
"DE","MBAL","1110","Coastal habitats"
"DE","MATL","1130","Coastal habitats"
"DE","MBAL","1130","Coastal habitats"
"DE","MATL","1140","Coastal habitats"
"DE","MBAL","1140","Coastal habitats"
"DE","ATL","1150","Coastal habitats"
"DE","CON","1150","Coastal habitats"
"DE","MATL","1160","Coastal habitats"
"DE","MBAL","1160","Coastal habitats"
"DE","MATL","1170","Coastal habitats"
"DE","MBAL","1170","Coastal habitats"
"DE","ATL","1210","Coastal habitats"
"DE","CON","1210","Coastal habitats"
"DE","ATL","1220","Coastal habitats"
"DE","CON","1220","Coastal habitats"
"DE","ATL","1230","Coastal habitats"
"DE","CON","1230","Coastal habitats"
"DE","ATL","1310","Coastal habitats"
"DE","CON","1310","Coastal habitats"
"DE","ATL","1320","Coastal habitats"
"DE","ATL","1330","Coastal habitats"
"DE","CON","1330","Coastal habitats"
"DE","ATL","1340","Coastal habitats"
"DE","CON","1340","Coastal habitats"
"DE","ATL","2110","Dunes habitats"
"DE","CON","2110","Dunes habitats"
"DE","ATL","2120","Dunes habitats"
"DE","CON","2120","Dunes habitats"
"DE","ATL","2130","Dunes habitats"
"DE","CON","2130","Dunes habitats"
"DE","ATL","2140","Dunes habitats"
"DE","CON","2140","Dunes habitats"
"DE","ATL","2150","Dunes habitats"
"DE","CON","2150","Dunes habitats"
"DE","ATL","2160","Dunes habitats"
"DE","CON","2160","Dunes habitats"
"DE","ATL","2170","Dunes habitats"
"DE","CON","2170","Dunes habitats"
"DE","ATL","2180","Dunes habitats"
"DE","CON","2180","Dunes habitats"
"DE","ATL","2190","Dunes habitats"
"DE","CON","2190","Dunes habitats"
"DE","ATL","2310","Dunes habitats"
"DE","CON","2310","Dunes habitats"
"DE","ATL","2320","Dunes habitats"
"DE","ATL","2330","Dunes habitats"
"DE","CON","2330","Dunes habitats"
"DE","ATL","3110","Freshwater habitats"
"DE","CON","3110","Freshwater habitats"
"DE","ALP","3130","Freshwater habitats"
"DE","ATL","3130","Freshwater habitats"
"DE","CON","3130","Freshwater habitats"
"DE","ALP","3140","Freshwater habitats"
"DE","ATL","3140","Freshwater habitats"
"DE","CON","3140","Freshwater habitats"
"DE","ALP","3150","Freshwater habitats"
"DE","ATL","3150","Freshwater habitats"
"DE","CON","3150","Freshwater habitats"
"DE","ALP","3160","Freshwater habitats"
"DE","ATL","3160","Freshwater habitats"
"DE","CON","3160","Freshwater habitats"
"DE","ATL","3180","Freshwater habitats"
"DE","CON","3180","Freshwater habitats"
"DE","ALP","3190","Freshwater habitats"
"DE","CON","3190","Freshwater habitats"
"DE","ALP","3220","Freshwater habitats"
"DE","CON","3220","Freshwater habitats"
"DE","ALP","3230","Freshwater habitats"
"DE","CON","3230","Freshwater habitats"
"DE","ALP","3240","Freshwater habitats"
"DE","CON","3240","Freshwater habitats"
"DE","ALP","3260","Freshwater habitats"
"DE","ATL","3260","Freshwater habitats"
"DE","CON","3260","Freshwater habitats"
"DE","ATL","3270","Freshwater habitats"
"DE","CON","3270","Freshwater habitats"
"DE","ATL","4010","Heath & scrub"
"DE","CON","4010","Heath & scrub"
"DE","ATL","4030","Heath & scrub"
"DE","CON","4030","Heath & scrub"
"DE","ALP","4060","Heath & scrub"
"DE","CON","4060","Heath & scrub"
"DE","ALP","4070","Heath & scrub"
"DE","CON","4070","Heath & scrub"
"DE","ALP","4080","Heath & scrub"
"DE","CON","40A0","Heath & scrub"
"DE","CON","5110","Sclerophyllous scrubs"
"DE","ATL","5130","Sclerophyllous scrubs"
"DE","CON","5130","Sclerophyllous scrubs"
"DE","ATL","6110","Grasslands"
"DE","CON","6110","Grasslands"
"DE","ATL","6120","Grasslands"
"DE","CON","6120","Grasslands"
"DE","ATL","6130","Grasslands"
"DE","CON","6130","Grasslands"
"DE","ALP","6150","Grasslands"
"DE","CON","6150","Grasslands"
"DE","ALP","6170","Grasslands"
"DE","ALP","6210","Grasslands"
"DE","ATL","6210","Grasslands"
"DE","CON","6210","Grasslands"
"DE","ALP","6230","Grasslands"
"DE","ATL","6230","Grasslands"
"DE","CON","6230","Grasslands"
"DE","ATL","6240","Grasslands"
"DE","CON","6240","Grasslands"
"DE","ALP","6410","Grasslands"
"DE","ATL","6410","Grasslands"
"DE","CON","6410","Grasslands"
"DE","ALP","6430","Grasslands"
"DE","ATL","6430","Grasslands"
"DE","CON","6430","Grasslands"
"DE","ATL","6440","Grasslands"
"DE","CON","6440","Grasslands"
"DE","ALP","6510","Grasslands"
"DE","ATL","6510","Grasslands"
"DE","CON","6510","Grasslands"
"DE","ALP","6520","Grasslands"
"DE","CON","6520","Grasslands"
"DE","ALP","7110","Bogs, mires & fens"
"DE","ATL","7110","Bogs, mires & fens"
"DE","CON","7110","Bogs, mires & fens"
"DE","ALP","7120","Bogs, mires & fens"
"DE","ATL","7120","Bogs, mires & fens"
"DE","CON","7120","Bogs, mires & fens"
"DE","ALP","7140","Bogs, mires & fens"
"DE","ATL","7140","Bogs, mires & fens"
"DE","CON","7140","Bogs, mires & fens"
"DE","ALP","7150","Bogs, mires & fens"
"DE","ATL","7150","Bogs, mires & fens"
"DE","CON","7150","Bogs, mires & fens"
